Latitude,Longitude,ZipCode,Location
39.290628000000005,-76.614485,21202,[39.290628000000005\, -76.614485]
39.310848,-76.646633,21217,[39.310848\, -76.646633]
39.295048,-76.616872,21201,[39.295048\, -76.616872]
39.299893,-76.583081,21205,[39.299893\, -76.583081]
39.298862,-76.626914,21201,[39.298862\, -76.626914]
39.307276,-76.645597,21217,[39.307276\, -76.645597]
39.248041,-76.629274,21225,[39.248041\, -76.629274]
39.316588,-76.60876800000001,21218,[39.316588\, -76.60876800000001]
39.30004,-76.608038,21202,[39.30004\, -76.608038]
39.284299,-76.614453,21201,[39.284299\, -76.614453]
39.309311,-76.66115500000001,21216,[39.309311\, -76.66115500000001]
39.286545000000004,-76.635975,21223,[39.286545000000004\, -76.635975]
39.298691,-76.586667,21205,[39.298691\, -76.586667]
39.310831,-76.64998800000001,21217,[39.310831\, -76.64998800000001]
39.301109999999994,-76.627158,21201,[39.301109999999994\, -76.627158]
39.283388,-76.59442,21231,[39.283388\, -76.59442]
39.308432,-76.65811500000001,21216,[39.308432\, -76.65811500000001]
39.248612,-76.628517,21225,[39.248612\, -76.628517]
39.304473,-76.644048,21217,[39.304473\, -76.644048]
39.285454,-76.640803,21223,[39.285454\, -76.640803]
39.293912,-76.603234,21202,[39.293912\, -76.603234]
39.291616,-76.59177700000001,21231,[39.291616\, -76.59177700000001]
39.2844,-76.642114,21223,[39.2844\, -76.642114]
39.301603,-76.625438,21201,[39.301603\, -76.625438]
39.299589000000005,-76.615747,21201,[39.299589000000005\, -76.615747]
39.242915,-76.622295,21225,[39.242915\, -76.622295]
39.311424,-76.60000600000001,21213,[39.311424\, -76.60000600000001]
39.302734,-76.607642,21202,[39.302734\, -76.607642]
39.337272999999996,-76.669476,21215,[39.337272999999996\, -76.669476]
39.288565999999996,-76.610961,21202,[39.288565999999996\, -76.610961]
39.298966,-76.579493,21205,[39.298966\, -76.579493]
39.352872999999995,-76.67768199999999,21215,[39.352872999999995\, -76.67768199999999]
39.303537,-76.63564699999999,21217,[39.303537\, -76.63564699999999]
39.244194,-76.627525,21225,[39.244194\, -76.627525]
39.311186,-76.602506,21202,[39.311186\, -76.602506]
39.290555,-76.589749,21231,[39.290555\, -76.589749]
39.244338,-76.626671,21225,[39.244338\, -76.626671]
39.318459999999995,-76.594697,21218,[39.318459999999995\, -76.594697]
39.249010999999996,-76.631997,21225,[39.249010999999996\, -76.631997]
39.308597999999996,-76.654071,21216,[39.308597999999996\, -76.654071]
39.328074,-76.565014,21206,[39.328074\, -76.565014]
39.290488,-76.623665,21201,[39.290488\, -76.623665]
39.308031,-76.643489,21217,[39.308031\, -76.643489]
39.305726,-76.64356,21217,[39.305726\, -76.64356]
39.300312,-76.605297,21202,[39.300312\, -76.605297]
39.360901,-76.69785,21215,[39.360901\, -76.69785]
39.295821999999994,-76.625063,21201,[39.295821999999994\, -76.625063]
39.327658,-76.6091,21218,[39.327658\, -76.6091]
39.353895,-76.686284,21215,[39.353895\, -76.686284]
39.338999,-76.663974,21215,[39.338999\, -76.663974]
39.304777,-76.58269399999999,21213,[39.304777\, -76.58269399999999]
39.297525,-76.58778000000001,21205,[39.297525\, -76.58778000000001]
39.286257,-76.622129,21201,[39.286257\, -76.622129]
39.30968,-76.65133900000001,21217,[39.30968\, -76.65133900000001]
39.289701,-76.611048,21202,[39.289701\, -76.611048]
39.308384000000004,-76.639434,21217,[39.308384000000004\, -76.639434]
39.249721,-76.630346,21225,[39.249721\, -76.630346]
39.305305,-76.643799,21217,[39.305305\, -76.643799]
39.286001,-76.61017700000001,21202,[39.286001\, -76.61017700000001]
39.311184999999995,-76.640141,21217,[39.311184999999995\, -76.640141]
39.299977,-76.60528199999999,21202,[39.299977\, -76.60528199999999]
39.299288,-76.60272900000001,21202,[39.299288\, -76.60272900000001]
39.291746999999994,-76.589201,21231,[39.291746999999994\, -76.589201]
39.306656,-76.637159,21217,[39.306656\, -76.637159]
39.299997,-76.580263,21205,[39.299997\, -76.580263]
39.284199,-76.648444,21223,[39.284199\, -76.648444]
39.300779,-76.60373299999999,21202,[39.300779\, -76.60373299999999]
39.284726,-76.591353,21231,[39.284726\, -76.591353]
39.299255,-76.663437,21216,[39.299255\, -76.663437]
39.364946999999994,-76.70281899999999,21215,[39.364946999999994\, -76.70281899999999]
39.309889,-76.646518,21217,[39.309889\, -76.646518]
39.284448,-76.640738,21223,[39.284448\, -76.640738]
39.294151,-76.615489,21201,[39.294151\, -76.615489]
39.289278,-76.62233,21201,[39.289278\, -76.62233]
39.299625,-76.611231,21202,[39.299625\, -76.611231]
39.248009,-76.63066500000001,21225,[39.248009\, -76.63066500000001]
39.286491,-76.598156,21231,[39.286491\, -76.598156]
39.302955,-76.633128,21217,[39.302955\, -76.633128]
39.355662,-76.688167,21215,[39.355662\, -76.688167]
39.287904,-76.606944,21202,[39.287904\, -76.606944]
39.319629,-76.57656,21213,[39.319629\, -76.57656]
39.312017,-76.61103,21218,[39.312017\, -76.61103]
39.314161999999996,-76.598862,21218,[39.314161999999996\, -76.598862]
39.281989,-76.607383,21230,[39.281989\, -76.607383]
39.311544,-76.63164,21217,[39.311544\, -76.63164]
39.291581,-76.61802,21201,[39.291581\, -76.61802]
39.245061,-76.623826,21225,[39.245061\, -76.623826]
39.287015999999994,-76.557327,21224,[39.287015999999994\, -76.557327]
39.292896,-76.619659,21201,[39.292896\, -76.619659]
39.28914,-76.595711,21231,[39.28914\, -76.595711]
39.29971,-76.62876999999999,21201,[39.29971\, -76.62876999999999]
39.300243,-76.57390799999999,21205,[39.300243\, -76.57390799999999]
39.287015000000004,-76.596626,21231,[39.287015000000004\, -76.596626]
39.301373999999996,-76.626497,21201,[39.301373999999996\, -76.626497]
39.310392,-76.649955,21217,[39.310392\, -76.649955]
39.310033000000004,-76.610892,21202,[39.310033000000004\, -76.610892]
39.283207,-76.644911,21223,[39.283207\, -76.644911]
39.286662,-76.610022,21202,[39.286662\, -76.610022]
39.284265000000005,-76.61248499999999,21202,[39.284265000000005\, -76.61248499999999]
