Latitude,Longitude,ZipCode
39.310860999999996,-76.640704,21217
39.291378,-76.60783,21202
39.283147,-76.646666,21223
39.244008,-76.62424399999999,21225
39.284564,-76.59326,21231
39.302018,-76.625957,21201
39.300826,-76.664776,21216
39.300189,-76.66513,21216
39.310219000000004,-76.651376,21217
39.303959000000006,-76.643874,21217
39.299474,-76.628247,21201
39.300885,-76.584317,21205
39.290996,-76.621074,21201
39.288641999999996,-76.595773,21231
39.29052,-76.591047,21231
39.300996000000005,-76.62538,21201
39.283308,-76.641401,21223
39.315068,-76.59780500000001,21218
39.32208,-76.613155,21218
39.301253,-76.606166,21202
39.293473,-76.600139,21202
39.248756,-76.6322,21225
39.298860999999995,-76.582319,21205
39.33267,-76.663122,21215
39.354997,-76.687574,21215
39.285245,-76.620675,21201
39.298140999999994,-76.587517,21205
39.248579,-76.629266,21225
39.308694,-76.651259,21217
39.307995,-76.640251,21217
39.283757,-76.606008,21202
39.304809000000006,-76.644511,21217
39.301361,-76.60726899999999,21202
39.300442,-76.61106099999999,21202
39.291377000000004,-76.623837,21201
39.305112,-76.635566,21217
39.3062,-76.637229,21217
39.290387,-76.612448,21202
39.301308,-76.604304,21202
39.288973999999996,-76.598314,21231
39.242839000000004,-76.62567800000001,21225
39.307451,-76.644449,21217
39.300441,-76.627711,21201
39.294821,-76.656215,21223
39.299207,-76.60390100000001,21202
39.246813,-76.6254,21225
39.321523,-76.611159,21218
39.312303,-76.584864,21213
39.314507,-76.60955600000001,21218
39.291428,-76.62244100000001,21201
39.322586,-76.59079,21218
39.290501,-76.617985,21201
39.342397,-76.666714,21215
39.362362,-76.699659,21215
39.309212,-76.66403199999999,21216
39.286883,-76.597371,21231
39.285391,-76.611909,21202
39.295790000000004,-76.621317,21201
39.291982,-76.617326,21201
39.309813,-76.64818000000001,21217
39.303868,-76.633558,21217
39.289526,-76.615144,21201
39.285302,-76.619283,21201
39.294579,-76.604043,21202
39.31544,-76.608204,21218
39.282387,-76.649772,21223
39.305786,-76.644515,21217
39.250116,-76.63301,21225
39.291817,-76.602983,21202
39.246384,-76.627666,21225
39.294062,-76.678286,21229
39.283259,-76.643511,21223
39.310091,-76.61238,21202
39.299869,-76.60311800000001,21202
39.287529,-76.635958,21223
39.24845,-76.625322,21225
39.288037,-76.595338,21231
39.31354,-76.60845400000001,21218
39.291602000000005,-76.619664,21201
39.315646,-76.579763,21213
39.296696000000004,-76.62127,21201
39.287622999999996,-76.593704,21231
39.303319,-76.615909,21201
39.346305,-76.68028100000001,21215
39.32213,-76.591146,21218
39.306043,-76.663825,21216
39.246365999999995,-76.62468299999999,21225
39.299093,-76.57441700000001,21205
39.3402,-76.66510600000001,21215
