"CrimeDate","CrimeTime","CrimeCode","Location","Description","Inside/Outside","Weapon","Post","District","Neighborhood","Longitude","Latitude","Location 1","Premise","vri_name1","Total Incidents"
1545091200000,"13:00:00","9S","3900 PARK HEIGHTS AV","SHOOTING","Outside","FIREARM",614,"NORTHWEST","PEN-FALLSWAY",-76.661803,39.333275,null,"STREET",null,1
1545091200000,"13:00:00","9S","3900 PARK HEIGHTS AV","SHOOTING","Outside","FIREARM",614,"NORTHWEST","PEN-FALLSWAY",-76.661803,39.333275,null,"STREET",null,1
1545004800000,"18:31:00","9S","200 N WARWICK AV","SHOOTING","Outside","FIREARM",842,"SOUTHWEST","PENROSE/FAYETTE ST OUTREACH",-76.65599119,39.2908219546,null,"STREET",null,1
1544832000000,"03:07:00","9S","1800 LORMAN ST","SHOOTING","Outside","FIREARM",743,"WESTERN","SANDTOWN-WINCHESTER",-76.6467216361,39.3042142021,null,"STREET",null,1
1544745600000,"10:59:00","9S","1600 E BIDDLE ST","SHOOTING","Outside","FIREARM",343,"EASTERN","OLIVER",-76.5960080112,39.3042714021,null,"STREET",null,1
1544745600000,"17:00:00","9S","400 S AUGUSTA AV","SHOOTING","Outside","FIREARM",833,"SOUTHWEST","IRVINGTON",-76.6845581105,39.2796842084,null,"STREET",null,1
1544745600000,"18:10:00","9S","1800 N PAYSON ST","SHOOTING","Outside","FIREARM",741,"WESTERN","EASTERWOOD",-76.649884428,39.3088212899,null,"PUBLIC AREA","Western",1
1544659200000,"20:35:00","9S","1100 W NORTHERN PKWY","SHOOTING","Outside","FIREARM",521,"NORTHERN","NORTH ROLAND PARK/POPLAR HILL",-76.646161,39.361457,null,"PARKING LOT",null,1
1544400000000,"14:23:00","9S","1300 N MONTFORD AV","SHOOTING","Outside","FIREARM",331,"EASTERN","BROADWAY EAST",-76.5841970847,39.306141686,null,"STREET",null,1
1544313600000,"16:32:00","9S","3200 GWYNNS FALLS PKWY","SHOOTING","Outside","FIREARM",641,"NORTHWEST","HANLON/LONGWOOD",-76.653355,39.318424,null,"STREET",null,1
1544313600000,"23:54:23","9S","1200 N GAY ST","SHOOTING","Outside","FIREARM",331,"EASTERN","LOCH RAVEN",-76.5937554206,39.3044571936,null,"STREET",null,1
1544313600000,"10:10:00","9S","1500 CHARLOTTE AV","SHOOTING","Outside","FIREARM",243,"SOUTHEAST","MEDFORD/BROENING MAN",-76.5405077243,39.2757597783,null,"DWELLING",null,1
1544313600000,"20:40:00","9S","2100 POPLAR GROVE ST","SHOOTING","Outside","FIREARM",811,"SOUTHWEST","LEVINDALE",-76.6659873496,39.3119102472,null,"STREET",null,1
1544313600000,"16:32:00","9S","3200 GWYNNS FALLS PKWY","SHOOTING","Outside","FIREARM",641,"NORTHWEST","HANLON/LONGWOOD",-76.653355,39.318424,null,"STREET",null,1
1544227200000,"18:55:00","9S","200 N CASTLE ST","SHOOTING","Outside","FIREARM",212,"SOUTHEAST",null,-76.5884867087,39.2945627716,null,"STREET",null,1
